smiles,Clostridium sporogenes ATCC15579
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0
COc1ccc(C2Sc3ccccc3N(CC[NH+](C)C)C(=O)C2OC(C)=O)cc1,0
O=C(Nc1ccccc1)OCC(C[NH+]1CCCCC1)OC(=O)Nc1ccccc1,0
C[NH+]1CCC(OC(c2ccccc2)c2ccccc2)CC1,0
OCCN(CCO)c1nc([NH+]2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0
CC(C)[NH+](CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0
O=c1[nH]c2ccccc2n1CCC[NH+]1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0
COc1cc2[nH+]c(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,0
CN(C)CCC=C1c2ccccc2COc2ccccc21,0
C[NH+](C)CCOC(C)(c1ccccc1)c1ccccn1,0
CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1,0
C[NH2+]CCC(Oc1cccc2ccccc12)c1cccs1,0
C[NH+]1CCCC1Cc1c[nH]c2cc(CCS(=O)(=O)c3ccccc3)ccc12,0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)[O-],0
CCN(CC)C(=O)C(C#N)=Cc1cc(O)c([O-])c([N+](=O)[O-])c1,1
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2[NH+](C)C1,0
C[NH+]1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21,0
C[NH+]1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,0
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0
C#CC1CC2C3CCC4=CC(OC(C)=O)CCC4C3CCC2(C)C1OC(C)=O,0
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)[O-])OCC3,0
